processed,original,drive_relevance,weed_relevance,forum,support
driving high often not weekend roll party bowl work stick traffic omg vapolution drive shiiznit load baby let er heat put vapo start rip away love awake high peerfect," Driving while high... I do it often if its not on a weekend rolling to a party its a bowl after work stuck in traffic. OMG, and my vapolution while driving, is the shiiznit... Load my baby up let er heat up, put it in the vapo and start ripping away... And I love it, its more of an awake high so its peerfect.. † ",1,3,grasscity,1
drive bake time hour ago drive girlfriend home windshield wiper even though sunny not even notice pull house drive bake fun, I drive baked all the time. Just a few hours ago I drove my girlfriend home with the windshield wipers on even though it was sunny out. Didn't even notice they were on until I pulled up at my house. Driving baked is fun. † ,3,2,grasscity,1
orangeman well agree drive buzz bit high really not problem let true fuck stone driving not recommend click expand well common sense stone mind nt even think," orangeman said: ? Well I agree, driving buzzed and a bit high really isn't a problem. But lets just be true about it. If you're fucking stoned driving is not recommended.Click to expand... well that comes with common sense. if youre stoned out of your mind, dont even think about it. † ",1,3,cannabis,0
think people drive high know handle ca nt nt think needless risk not sure imply think marijuana kill ill state drive high enjoyable admit instead act like dea, Why do you think people should drive high? How do you know who can handle and who cant? You dont think its a needless risk? Im not sure why you are implying I think marijuana kills... And Ill state this again for you. I have driven high before. Its enjoyable. I admit that. Just listen to what I have to say instead of acting like Im from the DEA † ,2,3,grasscity,0
drive oppose traffic w notice friend like kno drive opposite traffic like thank god car pretty far away time turn wendys b4 reach drive end drive high," drove in opposing traffic w/ out noticing (my friends where like, did you kno you just drove in opposite traffic and i was like WHAT?).. thank god the cars were pretty far away and i had time to turn into wendys b4 they reached where i was driving. thats the end of driving too high † ",4,1,cannabis,0
read somewhere drunk driver run stop sign stoner wait turn green cut cop moped stone way home work w license possession scott free edit trick polite not like mean cut," I read somewhere that drunk drivers run through stop signs, stoners wait for them to turn green. I cut off a cop once, on a moped, stoned, on my way home from work, w/out my license, in possession. Got off scott free. [edit: the trick is to be polite, it's not like I meant to cut him off.] † ",1,2,grasscity,1
dude good drive high man smoke think drive not really safe guess though feel safe everyone car drive, Dude im so good at driving high man. So if you smoke and think you can drive go for it.. But no its not really safe I guess.. Though I feel safe and everyone in the car does when I drive. † ,3,1,grasscity,1
well last night uncomftorable little high high drive place chill nice good high hate sit spot smoke sometimes, well last night i got one of those uncomftorable a little to high highs and then i drove to some other place and it chilled it and a nice good high came back. i hate sitting in one spot after i smoke..sometimes † ,1,3,cannabis,1
clark420 know high drive thru pay food drive without haha silvermj click expand hahaha jeeez hilarious,clark420 said You know you are high when you go to a drive thru pay for your food then drive off without it I had to go back to get it haha silvermj Click to expand Hahaha jeeez Thats hilarious,2,1,marijuana,1
eduard0 lol fk drive stick smoking bowl eat value meal whatever texting realize good concentrate road driving cruise gear still automatic necessary lifestyle point click expand fuck automatic want drive car slushbox transmission less control car guest love drive drive fast spirited sober spot high enjoy cruise smoking sober take twist neck wood thing drive op start small practice perfect smoke along time drive hang control focus awhile help driving," Eduard0 said: Lol this is why f*k driving stick. No smoking bowls, no eating your value meal or whatever, no texting... I realize it's better if I concentrate on the road and on driving, and that you can cruise in one gear, but still, automatics are so necessary to my lifestyle at this point...Click to expand... No fuck automatic. If you want to drive a car with a slushbox transmission and have less control of your car then be my guest. I love driving. I drive fast and spirited when I am sober and spot on when high. I enjoy cruising after smoking and when sober taking the twists in my neck of the woods. O and I can do all those things and drive. To the OP start small. Practice makes perfect. I smoked along time before I drove after. You get the hang of controlling yourself and focusing more after awhile and it helps with the driving. † ",6,2,grasscity,1
platypus313 people think drive high bad either never drive high not enough experience driving case probably young smoke think actually drive well high sober drive way fast frustrated really easily obvious reason calm drive high drive speed limit not care person front slow importantly way cautious click expand quite angry people drive slowly sober high drive enjoy cruise matter speed especially good tune bumpin," Platypus313 said: People who think driving high is bad have either never driven high or don't have enough experience driving, and if that's the case, you are probably too young to be smoking. I think I actually drive better when I am high. When sober, I drive way too fast and I get frustrated really easily. For obvious reasons, I am very calm when I drive high, I drive the speed limit, I don't care if the person in front of me is going slow, and most importantly, I'm way more cautious.Click to expand... This^ I get quite angry at people for driving slowly when I'm sober, but when I'm high and driving, I just enjoy the cruise, no matter the speed. Especially when I have some good tunes bumpin. † ",8,5,grasscity,1
blaze drive everytime home weekend like hr drive way beable sit place hr otherwise, i blaze and drive everytime i go home for the weekend. its like a 4 hr drive. there is no way i would beable to sit in one place for 4 hrs otherwise † ,2,1,grasscity,1
mauixhaze check story week ago down school home xmas break finish last final day friend room blaze big time smoke combo trainwreck romulun afghani bermise blueberry stone mind goodbye friend time start drive north within minute car hallucination type vision not pay attention road crash car front car new fuck bumbper mess car pretty bad turn people illegal immigrant insurance not even talk bit liberal ish sucker tend exchange info pay damage happy police involve consider amount pot car time along bong paraphanalia learn drive high not good idea quite commonplace occurances mild hallucination anyways happy reading good lookin click expand debate evidence against team pro weed car accident srry offend people fav woman hit homless person drag front bumper ride home yeah good thing cop not show much big trouble vow never drive intoxicated anything except cold pill thing save every winter well vow break within month lol time clam baking car like drive nice well sooo damn high control hard hit gas peddel reverse super fast not good keep thing light think car wernt drive like foot though fuck magicaly home almost hit garage car,mauixhaze said Check out this story A week ago I was down at school and was about to come home for xmas break I just finished my last final of the day so I went over to my friend 's room and we blazed big time We smoked a combo of trainwreck romulun afghani bermise and BLUEBERRY I was stoned out of my mind and said goodbye to my friend as it was time to start my drive north Within minutes in my car I was having some hallucination-type visions and was n't paying attention to the road and I crashed into some car in front of me There car was new and I fucked the bumbper up and messed my car up pretty bad Turns out the people were illegal immigrants so insurance was n't even there I talked to them for a bit and being the liberal-ish sucker that I tend to be I exchanged info with them and told them that I would pay for their damages I was very happy that no police were involved considering the amount of pot that I had in my car at the time along with my bong and other paraphanalia all in all i learned that driving high is not a good idea for me because of the quite commonplace occurances of mild hallucinations anyways happy reading and good lookin out.Click to expand for my debate theres some evidence against my team pro-weed about car accidents srry if i offend people but my fav is when this woman hit a homless person and had him dragging on her front bumper who ride home but yeah it is a good thing that cops did not show up or you 'd be in MUCH bigger trouble also i vow to never drive intoxicated by anything except cold pills those things save my ass every winter well that vow was broken within months lol time i was done clam-baking in my car and was like a drive be nice well i was SOOO damn high that i had no control how hard i hit gas peddel going in reverse super fast is not good and i kept seeing things such as lights i thought where cars but wernt so i drove like feet though fuck this and magicaly made it home after almost hitting the garage with my car,5,4,marijuana,0
canihbiss although cop pull car full kid mood click expand suggest not hotbox unless driveway something someone live house part property smoke window down not whole lot smell stick joint pretty much away long keep eye not break traffic law pipe bong not much plus damn near impossible hit pipe drive since take hand,Canihbiss said Although I should say cops will pull over a car full of kids if they 're in the mood.Click to expand I 'd suggest you not hotbox unless you 're in a driveway or something with someone who lives in the house that 's part of the property you 're on If you smoke with the windows down there 's not a whole lot of smell And if you stick to joints you can pretty much get away with it so long as you keep an eye out and do n't break traffic laws A pipe or bong not so much Plus it 's damn near impossible to hit a pipe while driving since that takes two hands,1,1,marijuana,0
know high set somewhere parking space lose ms scatter surface stare mess start drive walk forget remember second later forget many sure,You know you 're high when You are set off to go somewhere and backing out of your parking space you get lost You have M Ms scattered on a surface and you stare at them saying what you see Then you mess them up and start over You are driving or walking and forget where you 're going Then remember then seconds later forget again There are many more I am sure of it,1,1,marijuana,0
gota drive sober watch haha tend speed alot drive sober like windey road average down highway high drive really safe not even realize like look down speedlimit pay attantion road really not hard hit bowl drive," All i gota say is if i'm driving sober watch out haha. I tend to speed alot more when i drive sober, like doing 75 on windey back roads and average 110 down the highway. When i am high i drive really safe and don't even realize i am doing it. Like i just look down and i'm going the speedlimit paying more attantion to the road and it really isn't that hard to hit a bowl while driving. † ",4,2,grasscity,1
simplegreen drive nuts happen time know high order pizza take long deliver phrase may keep entertain hour someone unexpectedly quickly reply not much voluntarily watch e true hollywood story paula deen fall stair mistake rhcps cover high ground us national anthem mix smooth peanut butter extra crunchy peanut butter medium crunchy peanut butter click expand hahahahahahahahahahahahah ahahahahahhahahahahhahahahahhahahahhahahahahhahahahahahahahha medium peanut butter hahaha,SimpleGreen said That drives me nuts And it happens all the time You know you 're high when Ordering pizza takes longer than it does for it to be delivered The phrase be that as it may keeps you entertained for hours Someone unexpectedly asks you How 's it going and you quickly reply Not much You voluntarily watch an E True Hollywood story on Paula Deen You fall up stairs You mistake the RHCP 's cover of Higher Ground for the US National Anthem You mix smooth peanut butter and extra crunchy peanut butter to make medium crunchy peanut butter.Click to expand hahahahahahahahahahahahah ahahahahahhahahahahhahahahahhahahahhahahahahhahahahahahahahha medium peanut butter hahaha,1,2,marijuana,0
troublemaker42 certainly opinion entitle drive year life smoke year legally able operate motor vehicle since thru high school drive mile way school rain snow fog ice shine quite confident drive ability judgement far smoking never drive not feel safe never put anyone elses safety risk either choose not power quite frankly something people decide quite comfortable choice yes time not want drive not however nothing wrong partake small amount comfrotable exeperienced driver not recommend teenager newbie smoker simple fact not develop either skill knowledge tolerance know however daily smoker either constantly call cab company walk anywhere may want work not many hour day sober not influence cannabis certaion degree click expand agree completely person really need personal decision whether drive high not high drive concern lot people particularly young folk decide drive high really not enough experience either drive smoking informed decision whether really handle not drive smoke year trust good decision year old drive high handful time think enough proof safe not responsible decision,troublemaker_42 said And thats certainly an opinion you are entitled to I 've been driving for years of my life and smoking years I 've legally been able to operate a motor vehicle since I was and all thru high school drove miles one way just to get to school rain snow fog ice or shine.. I 'm quite confident in my driving ability and my judgement as far as smoking goes I 'd never drive if I did n't feel safe doing so and would never put anyone else 's safety at risk either If you choose not to more power to you but quite frankly its something people will have to decide for themselves and I 'm quite comfortable with my choices Yes there have been times I would n't want to drive .and I did n't However I see nothing wrong with partaking of a small amount if you are comfrotable doing so and are an exeperienced driver I do n't recommend this for teenagers or newbie smokers for the simple fact they have n't developed either the skills or the knowledge of their tolerance to know when to say when However as a daily smoker I 'd either constantly be calling the cab company or walking anywhere I may want to go because after work there are n't many hours of the day I 'm sober and not under the influence of cannabis to a certaion degree.Click to expand I agree with this completely Each person really needs to make the personal decision whether they can drive high or not and how high they can be to drive What concerns me is that a lot of people particularly younger folks decide to drive high when they really do n't have enough experience either driving or smoking to make an informed decision whether they can really handle it or not You 've been driving and smoking for years so I trust that you 're making a good decision When a year old drives high a handful of times and thinks that 's enough proof that it 's safe I just ca n't see that as a responsible decision,12,6,marijuana,1
drive high damage know many close call probably scare death," I drive high, no damage done, but if we knew how many close calls we had we would probably scare ourselves to death. † ",1,1,cannabis,1
drive home high everyday work hop highway ride cloud sing music blast actually like drive high well focus drive nt even bother look phone, I drive home high everyday after work... hop on the highway and ride the cloud back singing to myself with the music on blast... i actually like driving while high better i can focus more on driving and dont even bother looking at my phone † ,3,2,grasscity,1
lot people good drive high focused, A lot of people are better at driving high. Makes you more focused on what you're doing † ,1,1,grasscity,1
oldtimetoker idiot drive high responsible click expand,OldTimeToker said Your an idiot if you drive high Be responsible.Click to expand You're*,1,1,marijuana,1
reason not drive high unless not feel good bad driver pull dui license take away something not afford happen risk great reward drive slow cautiously not pull," The reason why i don't drive high unless i have to is not because i feel im a better or worse driver, its that if i am pulled over i would get a DUI and my license taken away, which is something that i cannot afford to happen The risk is greater than the reward. If i have to, i will and i will drive slow and cautiously so i don't get pulled over. † ",4,1,grasscity,0
day license let stone shit yet problem drive," 4 Days after I got my license, it was 4/20. Lets just say I got stoned as shit, yet I had no problem driving. † ",1,1,grasscity,1
like drive highway set cruis bowl pack hand beer center console cool beer seat bong glove box knee wheel sit enjoy oh not like people around smoke car prefer viewer love pot around corner sit bumper bumper traffic put smile face know smoke fucker not," I like driving on highways where I can set the cruis, have a bowl packed in one hand, beer in the center console, cooler of beer on the seat, bong in my glove box, and my knee under the wheel.  I can just sit back and enjoy. Oh, and also, not that I like people being around me when I smoke in my car, because I prefer no viewers, but I love having pot when I go around the corner and see that I'm going to be sitting in bumper to bumper traffic, it puts a smile on my face knowing I can smoke and most of these fuckers can't. † ",1,1,cannabis,1
drdankity furthermore hate drive around city high country road different matter altogether though often cruise around hit vape car traffic love vaping freeway cause stop sign anything ta stay white line cruuuise click expand haha kick really comfortable drive city high slow speed always look around everywhere high anyways suburb highway still drive fine not really like much like lot poster super bake not fuck around driving usually err side caution drive baked," dr.dankity said: Furthermore I hate driving around the city when I'm high. Country roads are a different matter altogether though....I often cruise around hitting my vape in the car when there's no traffic. I LOVE vaping on the freeway cause theres no stop signs or anything...all you gotta do is stay in between the white lines and cruuuise.Click to expand... haha i got a kick out of this because I am really comfortable driving in the city high, because of the slower speeds and I am always looking around everywhere when i am high anyways. but when I am in the suburbs or on the highway i can still drive fine but I don't really like it as much. Like a lot of other posters said, if I am super baked I don't fuck around with driving, I usually try to err on the side of caution when it comes to driving baked † ",4,4,grasscity,1
think drive drunk pretty fucking stupid drive stone not smart though,I think that driving drunk is pretty fucking stupid Driving stoned is n't very smart and I 'd only do it in when I HAVE to though,2,1,marijuana,0
drive pretty damn good high sometimes paranoid though," I drive pretty damn good when im high, I sometimes get paranoid though † ",1,1,cannabis,1
not drive high damn risky opinion plus shitty luck, I won't drive while high. Its too damn risky in my opinion. Plus I have such shitty luck. † ,1,1,cannabis,0
marijuana legalization disaster catastrophe drug warrior desperate show repeal pot prohibition colorado terrible mistake jacob sullum september source reason part coloradans approve amendment legalize marijuana recreational avote percent percent last february quinnipiac university poll percent colorado voter support decision percent oppose rest not sure underage cannabis consumers washington felon updated paste font jacob sullum92115 prohibitionist determine portray marijuana legalization colorado disaster poll result inconvenient since indicate public support amendment high year legal recreational sale year legal possession home cultivation honest drug warrior acknowledge quinnipiac number perhaps balance poll result dishonest drug warrior rocky mountain high intensity drug trafficking area rmhidta new report marijuana legalization change number rmhidta federally support task force dedicate suppress marijuana illegal drug claim percent colorado voter support legalization quinnipiac survey‰ÛÓeight point low actual result understate vote amendment point comparison still support story task force want consequence legalization colorado bad public support policy already fall even assume rmhidtas misrepresentation quinnipiac survey mistake direction error not random sure report overstate support legalization point someone catch text finalize underline point obvious despite pose dispassionate collector fact rmhidta issue similar report commit position legalization huge mistake every piece information present aim support predetermine conclusion even task force not simply stuff filter slant evidence play purported cost legalization ignore benefit example mean drug driving report percent increase marijuana relate traffic death legal recreational sale begin emphasis original interesting fact marijuana relate traffic death not necessarily anything marijuana report phrase describe fatality accident involve vehicle operator test positive marijuana indicate presence inactive metabolite thc level low impact drive performance positive result not mean driver impair time crash let alone marijuana contribute accident report emphasize another chapter adult marijuana rise colorado since expect percentage driver test positive marijuana ‰ÛÓwhether not impaired whether not accidents‰ÛÓto rise well not clear extent recent increase rmhidta insist call marijuana relate traffic death due population wide trend extent due increase dangerously impaired driver task force seem determined obscure crucial distinction another factor consider number cannabinoid screen perform law enforcement agency colorado nearly triple medical marijuana industry start take first year legal recreational sale reflect increase enforcement increase stone driving combination likewise last year increase marijuana relate duid arrest denver police rmhidta cite evidence legalization road dangerous emergency room visits hospitalizations report percent increase number marijuana relate emergency room visit percent increase number marijuana relate hospitalization like marijuana relate traffic death marijuana relate emergency room visit marijuana relate hospitalization not necessarily marijuana relate report explain number know marijuana mention refer patient whose marijuana determine lab test self report form validation physician fact patient marijuana point not necessarily prove marijuana cause emergency admission hospitalization therefore hard know increase highlight report due increase cannabis consumption increase willingness admit marijuana increase inquisitiveness hospital staff combination factor none necessarily mean marijuana relate medical problem actually although possible notably report include chart show much small number marijuana relate er visit prior even caution inference concern trends‰Ûshould not incomplete reporting chart misleading include similarly marijuana relate not mean people assume mean term answer seem obvious strengthen case against legalization even mean rely spurious evidence marijuana exposures report marijuana call rocky mountain poison drug center increase percent rmhidta firm ground since call really involve marijuana increase recent year plausible increase washington relate great availability marijuana edible first dispensary later recreational shop call involve adult although percent involve child young whether people mistake edible ordinary food take big dos call surely represent undesirable outcome usual rmhidta fail put troubling trend perspective although number marijuana call rise percent last year total still account percent call poison control center receive colorado center not report outcome website accord data washington poison center percent marijuana exposure case involve major effect fatality rmhidta strong incentive locate marijuana relate death colorado describe homicide apparent accident suicide marijuanas causal role death open debate even take give include traffic death relate marijuana may may not actually relate marijuana death toll attribute cannabis pal beside thousand alcohol relate death colorado period,Marijuana Legalization Disaster or Catastrophe Drug warriors are desperate to show that repealing pot prohibition in Colorado was a terrible mistake Jacob Sullum September Source Reason Part of In Coloradans approved Amendment which legalized marijuana for recreational use by avote of percent to percent Last February a Quinnipiac University poll found that percent of Colorado voters supported that decision while percent opposed it and the rest were n't sure Are Underage Cannabis Consumers in Washington Now Felons UPDATED /paste font Jacob Sullum|9.21.15 For prohibitionists determined to portray marijuana legalization in Colorado as a disaster those poll results are inconvenient since they indicate that public support for Amendment was higher after more than a year of legal recreational sales and more than two years of legal possession and home cultivation than it was in Honest drug warriors would acknowledge the Quinnipiac numbers and perhaps try to balance them with other poll results Dishonest drug warriors would do what the Rocky Mountain High Intensity Drug Trafficking Area RMHIDTA does in its new report on marijuana legalization change the numbers The RMHIDTA a federally supported task force dedicated to suppressing marijuana and other illegal drugs claims only percent of Colorado voters supported legalization in that Quinnipiac survey‰ÛÓeight points lower than the actual result It also understates the vote for Amendment by a point but the comparison still supports the story that the task force wants to tell The consequences of legalization in Colorado have been so bad that public support for the policy already has fallen Even assuming that the RMHIDTA 's misrepresentation of the Quinnipiac survey was a mistake the direction of the error is not random You can be sure that if the report had overstated support for legalization by eight points someone would have caught it before the text was finalized Which underlines a point that should be obvious by now Despite its pose as a dispassionate collector of facts the RMHIDTA which issued similar reports in and is committed to the position that legalization was a huge mistake and every piece of information it presents is aimed at supporting that predetermined conclusion So even when the task force does not simply make stuff up it filters and slants the evidence to play up the purported costs of legalization while ignoring the benefits Here are some examples of what I mean Drugged Driving The report says there was a percent increase in marijuana-related traffic deaths after legal recreational sales began in emphasis in the original Here is an interesting fact about marijuana-related traffic deaths They do not necessarily have anything to do with marijuana The report uses this phrase to describe fatalities from accidents involving vehicle operators who tested positive for marijuana which could indicate the presence of inactive metabolites or THC levels so low that they had no impact on driving performance A positive result does not mean a driver was impaired at the time of the crash let alone that marijuana contributed to the accident As the report emphasizes in another chapter adult marijuana use has been rising in Colorado since You would expect the percentage of drivers who test positive for marijuana ‰ÛÓwhether or not they are impaired and whether or not they get into accidents‰ÛÓto rise as well It is not clear to what extent recent increases in what the RMHIDTA insists on calling marijuana-related traffic deaths are due to this population-wide trend and to what extent they are due to an increase in dangerously impaired drivers The task force seems determined to obscure this crucial distinction Another factor to consider The number of cannabinoid screens performed for law enforcement agencies in Colorado nearly tripled between when the medical marijuana industry started to take off and the first year of legal recreational sales That could reflect increased enforcement increased stoned driving or a combination of both Likewise with last year 's increases in marijuana-related DUID arrests by Denver police which the RMHIDTA also cites as evidence that legalization has made the roads more dangerous Emergency Room Visits and Hospitalizations In the report says there was a percent increase in the number of marijuana-related emergency room visits and a percent increase in the number of marijuana-related hospitalizations Like marijuana-related traffic deaths marijuana-related emergency room visits and marijuana-related hospitalizations are not necessarily marijuana-related As the report explains these numbers also known as marijuana mentions refer to patients whose marijuana use was determined by lab tests self-reports or some other form of validation by the physician The fact that a patient had used marijuana at some point does not necessarily prove marijuana was the cause of the emergency admission or hospitalization It is therefore hard to know what to make of the increases highlighted by the report They could be due to increased cannabis consumption increased willingness to admit marijuana use increased inquisitiveness by hospital staff or some combination of those factors none of which necessarily means that marijuana-related medical problems actually went up between and although it 's possible they did Notably the report includes a chart showing much smaller numbers for marijuana-related E.R visits prior to even while cautioning that inferences concerning trends‰Û_should not be made because of incomplete reporting in and If the chart is misleading why include it Similarly if marijuana-related does not mean what most people will assume it means why use that term The answer seems obvious to strengthen the case against legalization even if that means relying on spurious evidence Marijuana Exposures The report says marijuana-only calls to the Rocky Mountain Poison and Drug Center increased percent in Here the RMHIDTA is on firmer ground since these calls really do involve marijuana and have increased in recent years It is plausible that the increase which has also been seen in Washington is related to greater availability of marijuana edibles first from dispensaries and later from recreational shops Most calls involve adults although about percent involve children or younger Whether people are mistaking edibles for ordinary food or taking bigger doses than they should have these calls surely represent undesirable outcomes But as usual the RMHIDTA fails to put this troubling trend into perspective Although the number of marijuana-only calls rose percent between and last year 's total still accounted for just percent of the or so calls that the poison control center received The Colorado center does not report outcomes on its website But according to data from the Washington Poison Center just percent of marijuana exposure cases involve a major effect and there have been no fatalities The RMHIDTA which has a strong incentive to locate marijuana-related deaths in Colorado describes one homicide two apparent accidents and three suicides Marijuana 's causal role in these six deaths is open to debate But even if we take it as a given and include all traffic deaths related to marijuana which may or may not actually be related to marijuana in and the death toll attributed to cannabis pales beside the thousands of alcohol-related deaths in Colorado during the same period,4,44,marijuana,0
catch long story not want much heres sumamry smoke friend house people lunch friend drive trip someone grab car window call cop stay cop book us school suspend although not school chance high parent big deal though open mind stupidity school board government everyones idea moral principle stay friend good person stand think right good action reward later life good part today society suspend week call parent question yeah policy bull ethic hehe good time,I got caught such a long story I do n't want to get into it that much here 's a sumamry Smoked at a friend 's house with a few people at lunch friend driving me back tripped out someone who he grabbed through the car window called the cops I was the only one who stayed with him Cops booked us school suspended me because 'although I was n't at school there was a chance I would go back high and my parents found out No big deal though opened my mind up on the stupidity of the school board/government/and everyone 's ideas of morals As said by my principle 'You stayed with your friend and I can see you are a good person who stands up for what you think is right Your good actions will be rewarded later on in life and your a good part of today 's society Your suspended for two weeks and you will have to call your parents questions me 'yeah your policy is bull**** and so are your ethics' hehe good times,1,1,marijuana,0
never catch open smoker smoke public drive confront many time gardai irish police stone drive walking play cool cool well ireland anyway still annoying dealer smoke rather cafe flight holland cheap every fly spend day gettin weed hash smoke post home bag usually work catch ca nt convict law ca nt hold responsible someone else agree smart smoker nt give fight legalize," ive never been caught and im a very open smoker, i smoke in public, when driving and have been confronted many times by Gardai (Irish Police) while stoned driving and walking, but if you just play it cool all will be cool, well, in Ireland anyway, still annoying that i have to go to a dealer to get smoke rather than a cafe, in saying that flights to Holland are cheap so every once in a while we fly over, spend two days there gettin weed/hash, smoke what we can there and then post home about 20 bags, usually works, only caught once but they cant convict you for it, the law is, you cant be held responsible for what someone else sends you. i agree, be a smart smoker! but also dont give up the fight to legalize it! † ",2,1,cannabis,1
really not drive smoking perhaps little high bit know possible people drive perfectly fine stone fact still illegal somewhat distraction smoking good way notice pull keep home want keep nose clean imo still charge dwi dui," You really shouldn't drive while smoking, perhaps if you got a little high a bit before. I know it's possible for some people to drive perfectly fine while stoned. The fact is that it is still illegal, somewhat of a distraction while smoking, and a good way to get noticed and pulled over. Keep it at home if you want to keep your nose clean imo, because they will still charge you with DWI/DUI † ",3,2,grasscity,0
blazeone honestly ca nt drive car high not smoke click expand care explain, blazeone said: honestly if you cant drive a car when you are high...YOU SHOULD NOT BE SMOKING...Click to expand... Care to explain yourself? † ,1,1,grasscity,0
